KOG0188,7,7,P36428;Q9FFC7,P36428;Q9FFC7,Q23122,Q23122,Q9VRJ1;Q9VLM8,Q9VRJ1;Q9VLM8,Q1LVL3,Q1LVL3,Q5JTZ9;P49588,Q5JTZ9;P49588,P40825,P40825,O13914,O13914
KOG2915,7,5,Q84K50,ZERO,G5EGR8,G5EGR8,Q9VBH7,ZERO,F1QTY5,F1QTY5,A0A024R6Q2;Q9BVS5,A0A024R6Q2;Q9BVS5,P46959,P46959,O14307,O14307
KOG2918,7,4,Q8VY08,ZERO,P46554,ZERO,Q9V3K7,ZERO,A8WHX0;F1R781,A8WHX0,Q9UIC8;O60294,O60294,Q04081;Q08282,Q08282,O94257;O60157,O60157
KOG2923,7,2,Q9XIM2,ZERO,Q21102,ZERO,Q9VGQ9,ZERO,Q502H4,ZERO,A0A024R2P5,ZERO,Q3E840,Q3E840,Q9UT33;Q9UUG3,Q9UT33
KOG2967,7,3,Q9FGI9,ZERO,Q09287;Q9BI62;Q19789,ZERO,Q7JUX9;Q9VR56,ZERO,B8JM40;E7FBE2;F1REK3,ZERO,Q7L0Y3;V9HVY8;Q6PF06,Q7L0Y3,Q12400,Q12400,O14214,O14214
KOG3013,7,5,Q9ZVT7,Q9ZVT7,Q95XD0,Q95XD0,Q9W1M9,ZERO,F8W3K6,F8W3K6,Q13868,Q13868,A0A023PZI,ZERO,Q09704,Q09704
KOG3051,7,2,Q9SGI3;Q9FF60,ZERO,Q9NAF8,ZERO,Q8SYJ9,ZERO,F1R994,ZERO,Q86U90,ZERO,P32579,P32579,O94530,O94530
KOG3062,7,3,Q9LMH0,Q9LMH0,Q7YTI4,ZERO,O46079,ZERO,Q0P457,ZERO,Q96EK9,ZERO,P34253,P34253,Q9P7V4,Q9P7V4
KOG3091,7,1,Q8GYF7,ZERO,Q9U3B9,ZERO,Q9V6B9,ZERO,E7FEX4,ZERO,Q7Z3B4,Q7Z3B4,P48837,ZERO,O42963,ZERO
KOG3115,7,7,Q8GXB7;Q8L8R4,Q8GXB7,Q23126,Q23126,O77263,O77263,Q5XJ57,Q5XJ57,Q9UBP6,Q9UBP6,Q12009,Q12009,Q96WV1,Q96WV1
KOG3293,7,1,F4K4E3,ZERO,Q19952,ZERO,Q9VKW8,ZERO,Q6P6E4,ZERO,Q9Y4Z0,ZERO,P40070,P40070,O14352,ZERO
KOG3322,7,5,Q4PL84,ZERO,Q11188,Q11188,Q7KVW2,ZERO,E7EZ66,E7EZ66,Q99575,Q99575,P41812,P41812,Q9UTA4,Q9UTA4
KOG3323,7,5,Q8VZ75,ZERO,Q9XUP4,Q9XUP4,A0A0B4LH54,ZERO,F1QCP5;F1QGC8,F1QCP5;F1QGC8,Q8TEA8;F8W1H4;Q96FN9,Q8TEA8;F8W1H4;Q96FN9,Q07648,Q07648,O14274,O14274
KOG3361,7,1,Q9MAB6;O49627;O81433,ZERO,O45948,ZERO,Q9VHK6,ZERO,F1QM53;Q6ZM53,ZERO,Q9H1K1,ZERO,Q12056;Q03020,Q12056;Q03020,Q9UTC6,ZERO
KOG3477,7,1,Q8LDT3,ZERO,Q95ZT5,ZERO,E1JGR4,ZERO,B7ZVA6,ZERO,Q49B96,ZERO,P04802,P04802,O14056,ZERO
KOG3943,7,2,Q94CK1,ZERO,O61900,ZERO,Q9VZD8,ZERO,F1R1P3,ZERO,A0A024R388,ZERO,P53072,P53072,P87151,P87151
KOG3949,7,2,Q9C778,ZERO,Q18195,ZERO,Q9VMQ7,ZERO,A0A0H2UKC8,ZERO,Q96EB1,ZERO,Q02884,Q02884,Q9USP1,Q9USP1
KOG4046,7,6,Q9ZW76,Q9ZW76,Q9XVT1,Q9XVT1,Q9VSC6,ZERO,F1QCR0,F1QCR0,O95707,O95707,P38336,P38336,Q9P7W9,Q9P7W9
KOG4146,7,7,A0MDQ1;B3H7G2,A0MDQ1;B3H7G2,B3CKG1,B3CKG1,Q7KU86,Q7KU86,F2Z4T6,F2Z4T6,Q9BTM9,Q9BTM9,P40554,P40554,Q9P3U9,Q9P3U9
KOG4400,7,2,Q9FG62;Q8GXC5;Q9M241;Q9FYD1;Q9M1L9;Q9FHC2;Q9SKG2,ZERO,P91223,ZERO,A0A0B4JD46;Q9VVA9,ZERO,E7FCQ0;F1QE26;F1QLY2;F1Q6Z5;F1QY69,ZERO,A0A024RAL5;P62633;Q8WW36;Q8WYQ9,ZERO,P40507;P53849;Q12476,P40507;Q12476,Q9HFF2;Q9P795;P36627,Q9P795
KOG4639,7,6,Q6AWV1,Q6AWV1,G5EF59,G5EF59,Q9VVE0,ZERO,Q5BJI6,Q5BJI6,Q969H6,Q969H6,P28005,P28005,Q9UU90,Q9UU90
KOG4835,7,1,Q93VA9,ZERO,Q9N3J4,ZERO,Q9VXL4,ZERO,F1QNQ8,ZERO,Q13901,ZERO,P38801,ZERO,O74469,O74469
KOG0839,6,3,O23602,ZERO,Q22484,ZERO,Q9VD22,ZERO,B8A4Z4;F1R356,B8A4Z4;F1R356,Q13395,Q13395,Q07527,Q07527,NONE,NONE
KOG1895,6,1,Q6NPW5;Q9M033;Q0WQK1;Q9SXC6,ZERO,O16929,ZERO,Q8MSU4,ZERO,A2CET0,ZERO,A0A024R0R6,ZERO,Q01329,Q01329,NONE,NONE
KOG4176,5,2,Q1ECQ5;Q8RWY1;Q5XVJ2;F4HWB0;Q9ZU81,Q8RWY1,Q7YWP5,ZERO,Q9VTP1;Q9W232,ZERO,E9QB52;Q5PNQ5,ZERO,Q96BT7;Q9BT30,Q96BT7,NONE,NONE,NONE,NONE
KOG1331,4,2,Q94A09,ZERO,NONE,NONE,NONE,NONE,F1QK09,ZERO,Q9P272,Q9P272,P49957,P49957,NONE,NONE
KOG4772,5,3,Q9FWA2;Q6DBN3,ZERO,NONE,NONE,Q9VTV4,ZERO,E7FCP2,E7FCP2,Q7Z6J9,Q7Z6J9,Q02825,Q02825,NONE,NONE
KOG2277,6,1,Q7Y216;O64642;Q5XET5;Q9M167,ZERO,Q09409;A8WHT1;Q20377;P91361;Q9GYS5;Q9XUU4;C8JQS4;Q9GR67;O44768;O17087;G5EFR3,A8WHT1,Q86BP3;Q7KW16;Q9VD44;L7XBB9,ZERO,F1QDP4;F1R4B0;F6N9H6;B8JIC9;F1QGS3;E7FEW2,ZERO,A0A0C4DFM7;F5H0R1;H3BRB1;Q5VYS8;Q6PIY7;Q9NVV4,ZERO,NONE,NONE,O13833;Q9UT49;O74326;O13798,ZERO
KOG2278,4,3,F4IW52;Q9LT04,F4IW52;Q9LT04,NONE,NONE,Q6Q376,ZERO,Q5EAR5,Q5EAR5,Q86TN4,Q86TN4,NONE,NONE,NONE,NONE
KOG0433,6,5,Q8RXK8,Q8RXK8,E2JL04,E2JL04,Q9VUY4,ZERO,F1QUQ0,F1QUQ0,NONE,NONE,P48526,P48526,Q9USL3,Q9USL3
KOG0108,6,1,Q9M9G6,ZERO,O45713,ZERO,Q86NL1,ZERO,NONE,NONE,Q9H0L4;P33240,P33240,P39927;P34217;P53316;P25299,ZERO,O42923;O43040;Q09868;Q9P6P7,ZERO
KOG1069,6,2,Q9LX74,ZERO,G5EG59,ZERO,Q9VGZ2,ZERO,NONE,NONE,Q9NQT4,ZERO,P53256,P53256,O42894,O42894
KOG2623,6,6,Q9M876,Q9M876,H2KZL6,H2KZL6,Q9W107,Q9W107,NONE,NONE,Q9Y2Z4,Q9Y2Z4,P48527,P48527,O74890,O74890
KOG2784,6,6,Q9T034,Q9T034,Q9GYS8,Q9GYS8,Q9W3J5,Q9W3J5,NONE,NONE,Q6IBR2,Q6IBR2,P15625,P15625,O42870,O42870
ENOG410IQXQ,6,3,Q93ZV7;Q0V7U7,ZERO,O01806,ZERO,NONE,NONE,E7F7F2;Q7ZTI0,ZERO,Q4G0J3;P05455,P05455,P33399,P33399,P87058,P87058
KOG1160,6,5,Q8RXN5,Q8RXN5,Q9N535,ZERO,NONE,NONE,F1QPL0,F1QPL0,Q9NV66,Q9NV66,Q08960,Q08960,O59761,O59761
KOG1211,6,4,Q9LI77;Q9LVH5;Q9SW47;F4KCL7;Q9LY24;Q7XJJ7;Q9FR37,ZERO,Q9U2I8,ZERO,NONE,NONE,F1QAJ4,F1QAJ4,Q9H0R6,Q9H0R6,Q03557;P32528,Q03557,O94509;Q9URY4,O94509
KOG1384,6,6,Q9ZUX7;Q9C5J6;Q9LJL4;Q9C6L1;Q93WC9;Q9SB60;Q94ID1;Q94ID3;Q94ID2,Q9ZUX7;Q9C5J6;Q9LJL4;Q9C6L1;Q93WC9;Q9SB60;Q94ID1;Q94ID3;Q94ID2,G5EBS1,G5EBS1,NONE,NONE,F1Q4Z4,F1Q4Z4,Q9H3H1,Q9H3H1,P07884,P07884,Q9UT75,Q9UT75
KOG1529,6,2,O64530;Q24JL3,ZERO,P91247;G5EEV0;Q9XTW7;O17730;Q9XTX2,ZERO,NONE,NONE,F1Q9K6,ZERO,Q16762,ZERO,Q08686,Q08686,Q9USJ1,Q9USJ1
KOG2145,6,5,Q9SR15,Q9SR15,G5EDY2,G5EDY2,NONE,NONE,F1QI32,ZERO,A0A024R6K8,A0A024R6K8,Q12109,Q12109,Q09692,Q09692
KOG0096,6,1,P41916;P41917;Q9FLQ3;Q8H156,ZERO,NONE,NONE,Q9VZ23;Q9VUN3,ZERO,P79735,ZERO,P62826,P62826,P32835;P32836,ZERO,P28748,ZERO
KOG0434,6,5,F4JLM5;F4J2W0,F4JLM5;F4J2W0,NONE,NONE,Q8MSW0,ZERO,F1QSY7,F1QSY7,P41252,P41252,P09436,P09436,O13651,O13651
KOG0435,6,5,Q9XEA0,Q9XEA0,NONE,NONE,Q9VZ82,ZERO,E7FD95;F1R7M6,F1R7M6,Q15031,Q15031,P11325,P11325,Q09828,Q09828
KOG0437,6,4,O04485,ZERO,NONE,NONE,Q8MRF8,ZERO,E7F679;E7F9F1;F1QFN3,E7F679;E7F9F1;F1QFN3,Q9P2J5,Q9P2J5,P26637,P26637,Q10490,Q10490
KOG0554,6,4,Q9M9C7;F4KBM0;Q9SSK1;Q9SW96;O48593;Q9SW95,Q9M9C7;F4KBM0;Q9SSK1;Q9SW96;O48593;Q9SW95,NONE,NONE,Q7JZR5,ZERO,F1QVF0,F1QVF0,Q96I59,Q96I59,Q3E7Z8,ZERO,Q9P6I0,Q9P6I0
KOG0647,6,1,Q38942;Q9LMQ0,ZERO,NONE,NONE,Q9W2E7;Q8T4A6,ZERO,Q7ZWF0,ZERO,P78406,P78406,P40066,ZERO,P41838,ZERO
KOG1004,6,4,Q500X1;Q94AW9,ZERO,NONE,NONE,Q8IPX7,ZERO,F1R2H8,F1R2H8,Q9NQT5,Q9NQT5,Q08285,Q08285,O13903,O13903
KOG1063,6,2,F4I1S8,ZERO,NONE,NONE,Q7K4B3,ZERO,Z4YI78,ZERO,Q6IA86,ZERO,P42935,P42935,O94533,O94533
KOG1099,6,6,Q8GUN8,Q8GUN8,NONE,NONE,Q9VEP1;Q8MRW7,Q9VEP1,F1QDU3,F1QDU3,A0A024QYX5,A0A024QYX5,P38238,P38238,O36015,O36015
KOG4163,6,6,Q9FYR6;Q9LEV2;Q9M1R2,Q9FYR6;Q9LEV2;Q9M1R2,NONE,NONE,P28668,P28668,F1QP23,F1QP23,P07814,P07814,P38708,P38708,O60155,O60155
KOG1147,3,3,O82462,O82462,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,P46655,P46655,O13775,O13775
KOG1191,6,5,Q66GQ1,Q66GQ1,NONE,NONE,Q9VC87,ZERO,F1Q694,F1Q694,Q969Y2,Q969Y2,P32559,P32559,Q9UTE7,Q9UTE7
KOG1253,6,6,Q9LFU5;Q9SRU7;Q9LYL0,Q9SRU7;Q9LYL0,NONE,NONE,Q9VK89,Q9VK89,F1QGD9;F1QK14,F1QGD9;F1QK14,A0A024R7I5;Q7Z2T5,A0A024R7I5;Q7Z2T5,P15565,P15565,Q9P804,Q9P804
KOG1596,6,5,Q94AH9;Q9FEF8;Q9FHB3,ZERO,NONE,NONE,Q9W1V3;Q9VG21,Q9W1V3,Q7ZTZ4,Q7ZTZ4,P22087,P22087,P15646,P15646,P35551,P35551
KOG1612,6,4,Q9FPI0,Q9FPI0,NONE,NONE,Q29QQ9,ZERO,F1R7J3,F1R7J3,A0A024R2P7,ZERO,Q12277,Q12277,O60124,O60124
KOG1614,6,5,Q9LDM2;Q9M209,Q9LDM2;Q9M209,NONE,NONE,Q8T4A9,ZERO,Q5XJQ5,Q5XJQ5,Q06265,Q06265,Q05636,Q05636,O74918,O74918
KOG1626,6,1,Q9LXC9;Q93V56;O82793;P21216;O82597;Q9LFF9,ZERO,NONE,NONE,O77460,ZERO,B7ZD39;F1QDB6;F1R7H6,ZERO,Q9H2U2;V9HWB5,Q9H2U2,P00817;P28239,ZERO,P19117;P87118,ZERO
KOG1775,6,1,Q9FKB0,ZERO,NONE,NONE,Q9VRT7,ZERO,A7E2L8,ZERO,A0A090N8Y5,ZERO,P40089,P40089,O42978,ZERO
KOG1784,6,1,Q8VYI0,ZERO,NONE,NONE,Q9W087,ZERO,E7EZ02,ZERO,A4D0W0,ZERO,P47093,P47093,O74483,ZERO
KOG1835,6,1,F4KBW6,ZERO,NONE,NONE,Q3YMV0,ZERO,Q1L8Z1,ZERO,Q92621,Q92621,P47054,ZERO,P78847,ZERO
KOG1936,6,5,O82413;F4IYF8;Q9LZE8,O82413,NONE,NONE,Q8IQX8,ZERO,F1Q5D5,F1Q5D5,P49590;P12081,P49590;P12081,P07263,P07263,O43011;Q9HGN1,O43011
KOG1964,6,1,Q8L748,ZERO,NONE,NONE,Q9V466,ZERO,Q5RGI2,ZERO,P57740,P57740,P52891,ZERO,Q10331,ZERO
KOG2159,6,4,F4HUW0;Q8GZ55;Q8VXU8;Q94K06;Q9M300,Q94K06,NONE,NONE,Q9VNH2,ZERO,F6NXI9,ZERO,Q96Q11,Q96Q11,P21269,P21269,Q9UTQ0;Q9Y7U9,Q9UTQ0;Q9Y7U9
KOG2187,6,3,Q9LU28;Q8L7S3,ZERO,NONE,NONE,Q9VVV7,ZERO,A4QP75;A2BEG2,A4QP75,A0A024RCF5;Q8IZ69,ZERO,P33753,P33753,Q09833,Q09833
KOG2198,6,5,Q8L601;Q9SMQ5;Q6NLP8,ZERO,NONE,NONE,Q9W4M9;Q9VPX3,Q9W4M9,A5PMI3;B8JM23;F6NJM6,A5PMI3,Q08J23;Q9H649;Q96CB9,Q08J23,P38205,P38205,O13935;Q9HGQ2,O13935;Q9HGQ2
KOG2271,6,1,F4JV80;Q8RXH2,ZERO,NONE,NONE,A1YK00,ZERO,F1R0R4;H9GYE2,ZERO,Q9BW27,Q9BW27,P46673,ZERO,Q9UUE5,ZERO
KOG2311,6,5,Q9SHS2,Q9SHS2,NONE,NONE,Q9W245,ZERO,F1R509,F1R509,Q9Y2Z2,Q9Y2Z2,P53070,P53070,O13670,O13670
KOG2333,6,4,Q9T0J6,ZERO,NONE,NONE,Q9VIS4,ZERO,F1QJQ7,F1QJQ7,Q96G46;K7EMI3,Q96G46;K7EMI3,Q06053,Q06053,Q9UTH9,Q9UTH9
KOG2411,6,5,F4JJT9,F4JJT9,NONE,NONE,Q9VJH2,ZERO,E9QFP3,E9QFP3,A0A024R8Z9,A0A024R8Z9,P15179,P15179,O94242,O94242
KOG2529,6,4,Q0WVR7;Q9LD90,ZERO,NONE,NONE,E1JGV6,ZERO,B3DHG0;F1Q749,B3DHG0,O60832;Q8WWH5,Q8WWH5,P33322;P48567,P48567,O59721;O14007,O59721;O14007
KOG2553,6,5,Q9LN29;Q9SGS1;O22928;Q8GUL5;Q9LN21,Q9SGS1;O22928;Q8GUL5,NONE,NONE,Q9VDK6,ZERO,F1QWW1,F1QWW1,E5KMT5,E5KMT5,P53167;Q12211,P53167;Q12211,O94295;O94396;O74451,O94295;O94396;O74451
KOG2707,6,6,O22145,O22145,NONE,NONE,Q9VWD6,Q9VWD6,B0V343,B0V343,Q9H4B0,Q9H4B0,P43122,P43122,O94710,O94710
KOG2708,6,5,O49653,ZERO,NONE,NONE,Q9VV41,Q9VV41,Q5RHZ6,Q5RHZ6,Q9NPF4,Q9NPF4,P36132,P36132,O94637,O94637
KOG2721,6,5,F4IRQ5;F4ISV6,F4IRQ5;F4ISV6,NONE,NONE,M9MSI6,ZERO,F1R9P0,F1R9P0,Q9NWX6,Q9NWX6,P53215,P53215,Q9Y7T3,Q9Y7T3
KOG2805,6,4,Q56XT9,ZERO,NONE,NONE,Q9U1L1,ZERO,F1QRX8,F1QRX8,O75648,O75648,Q12093,Q12093,O13947,O13947
KOG2906,6,1,Q9LNK0;Q9ZQC0,ZERO,NONE,NONE,A1ZBX4,ZERO,Q6DGU0,ZERO,Q9Y2Y1,ZERO,Q04307,ZERO,O13896,O13896
KOG3082,6,5,Q9C712,Q9C712,NONE,NONE,Q7K4U8,ZERO,F1QJ58,F1QJ58,Q96DP5,Q96DP5,P32785,P32785,Q9UTG6,Q9UTG6
KOG3087,6,3,Q94K14;Q5Q0I2,ZERO,NONE,NONE,Q9VRJ6,ZERO,F1QB90,ZERO,Q96S44,Q96S44,P53323,P53323,Q9P7N1,Q9P7N1
KOG3158,6,1,Q8L7U4;Q6ID70,ZERO,NONE,NONE,A0A0B4K6D2,ZERO,Q7SZQ8;F1RCG2;F1QRW5;F1QBW9,ZERO,A0A024RB32;Q9BTE6,Q9BTE6,P28707,ZERO,Q11118,ZERO
KOG3387,6,1,Q9SU26;Q8LCC7;Q94AF6;Q9SYH9,ZERO,NONE,NONE,D2NUK9,ZERO,Q7ZV23;Q7ZU93,ZERO,Q6FHM6;P78345,P78345,P39990,ZERO,O74690,ZERO
KOG3409,6,2,A2RVT9,ZERO,NONE,NONE,Q9VKJ4,ZERO,B8A4H5,ZERO,Q9Y3B2,ZERO,P53859,P53859,O59821,O59821
KOG3460,6,1,Q9C6K5;Q9LMN4,ZERO,NONE,NONE,Q8IMX8,ZERO,E7EZE6,ZERO,P62310,ZERO,P57743,P57743,Q9Y7M4,ZERO
KOG4674,6,1,A4GSN8,ZERO,NONE,NONE,A1Z8P9,ZERO,Q5RI09;F1Q9Z8,ZERO,P12270,P12270,P40457,ZERO,O74424;Q9UTK5,ZERO
KOG4685,6,5,Q9LSS3;Q9M1E8;Q2V3Q6,Q9LSS3;Q9M1E8;Q2V3Q6,NONE,NONE,Q8IP11,ZERO,F1QLQ4,F1QLQ4,A0A024R2H2,A0A024R2H2,P16658,P16658,Q8TFH7,Q8TFH7
KOG2278,5,4,F4IW52;Q9LT04,F4IW52;Q9LT04,NONE,NONE,Q86BH3;Q6Q376,ZERO,Q5EAR5,Q5EAR5,Q86TN4,Q86TN4,Q12272,Q12272,NONE,NONE
KOG2277,4,0,O64642;Q5XET5;Q7Y216;Q9M167,ZERO,NONE,NONE,NONE,NONE,B8JIC9;E7FEW2;F1QDP4;F1QGS3;F1R4B0;F6N9H6,ZERO,A0A0C4DFM7;F5H0R1;H3BRB1;Q5VYS8;Q6PIY7;Q9NVV4,ZERO,NONE,NONE,O13798;O13833;O74326,ZERO
KOG1195,6,6,NONE,NONE,Q18316,Q18316,Q8SXK2;Q9VXT0;Q9VXN4,Q9VXN4,A5WVY0;B0UXP8;F1QLT9,A5WVY0;B0UXP8;F1QLT9,Q5T160;P54136;Q5D0E6,Q5T160;P54136;Q5D0E6,Q05506;P38714,Q05506;P38714,O74781,O74781
KOG1833,5,1,F4KHD8,ZERO,P91495,ZERO,Q9GPI0,ZERO,F1QC46,ZERO,Q8TEM1;Q5VU65,Q8TEM1,NONE,NONE,NONE,NONE
KOG2492,5,2,Q8H0V1,ZERO,Q9BKW0,ZERO,Q9VGZ1,ZERO,F1QMW8,F1QMW8,Q96SZ6,Q96SZ6,NONE,NONE,NONE,NONE
KOG4355,5,3,Q9C7H2,ZERO,Q8MXQ7,Q8MXQ7,Q7K4W1,ZERO,F1RBA5,F1RBA5,Q5VV42,Q5VV42,NONE,NONE,NONE,NONE
KOG3717,4,1,NONE,NONE,P32756,ZERO,P07668;Q8MSL6;Q9VI16;Q9VEM4,ZERO,A0JMN2;Q642H6;E7FF98;E7FA20;F1Q5A5;A3KPZ2;Q1LXU0;B2ZGJ1;E9QI17,E7FA20,A0A024QZE3;A0A024R4W7;A0A024R5F4;P43155;P28329,ZERO,NONE,NONE,NONE,NONE
KOG1592,3,0,P50287;O65268;Q8GXG1,ZERO,NONE,NONE,B4F5C5,ZERO,NONE,NONE,A0A024R573;Q9H6P5,ZERO,NONE,NONE,NONE,NONE
KOG3009,5,1,Q94AT3;Q84K35,ZERO,Q22721,ZERO,Q9VPR3,ZERO,F1QM18,ZERO,NONE,NONE,NONE,NONE,Q9USY1,Q9USY1
KOG1228,4,3,Q8W4K1,ZERO,NONE,NONE,NONE,NONE,Q6DHJ1,Q6DHJ1,Q6IPR3,Q6IPR3,P53177,P53177,NONE,NONE
KOG1227,3,2,NONE,NONE,Q20240,ZERO,NONE,NONE,NONE,NONE,Q53H54,Q53H54,Q04235,Q04235,NONE,NONE
KOG0838,5,1,Q8W497;Q9LXE4;Q9SUL3,Q9LXE4,Q9XWY8;Q9XWZ0,ZERO,NONE,NONE,F1QG96,ZERO,NONE,NONE,P25270,ZERO,O94631,ZERO
KOG1149,5,4,Q9FEA2,Q9FEA2,O44413,O44413,NONE,NONE,E7F1P2,ZERO,NONE,NONE,P48525,P48525,Q9HDX9,Q9HDX9
KOG1227,4,3,NONE,NONE,Q20240,ZERO,NONE,NONE,NONE,NONE,Q53H54,Q53H54,Q04235,Q04235,Q09832,Q09832
KOG1228,4,3,Q8W4K1,ZERO,NONE,NONE,NONE,NONE,NONE,NONE,Q6IPR3,Q6IPR3,P53177,P53177,Q9UTA5,Q9UTA5
KOG3448,5,1,Q1H595,ZERO,NONE,NONE,Q7K018,ZERO,Q5RKP8,ZERO,Q9Y333,ZERO,P38203,P38203,NONE,NONE
KOG4521,5,1,Q9C811,ZERO,NONE,NONE,X2J9F3,ZERO,E7EXU3;F1QBN2,ZERO,Q12769,Q12769,NONE,NONE,O43044,ZERO
KOG1592,5,0,Q8GXG1;P50287;O65268,ZERO,NONE,NONE,B4F5C5,ZERO,Q5BKW9;F1R943;A5PMQ0,ZERO,A0A024R573;Q9H6P5,ZERO,NONE,NONE,Q9P6N7,ZERO
KOG3717,3,1,NONE,NONE,NONE,NONE,P07668;Q8MSL6;Q9VI16;Q9VEM4,ZERO,E7FA20,E7FA20,A0A024QZE3;A0A024R4W7;A0A024R5F4;P43155;P28329,ZERO,NONE,NONE,NONE,NONE
KOG1148,5,5,F4K2L4;Q8W4F3,F4K2L4;Q8W4F3,NONE,NONE,Q9Y105,Q9Y105,NONE,NONE,P47897,P47897,P13188,P13188,Q9Y7Y8,Q9Y7Y8
KOG1810,5,2,Q9M3D3,ZERO,NONE,NONE,M9NFG3,ZERO,NONE,NONE,Q6YHU6,ZERO,Q03496,Q03496,O60081,O60081
KOG2535,5,4,Q93ZR1,Q93ZR1,NONE,NONE,Q9VQZ6,ZERO,NONE,NONE,Q9H9T3,Q9H9T3,Q02908,Q02908,O14023,O14023
KOG1347,5,1,B3H641;F4HPH1;F4HPH2;F4HQ05;F4HZH9;F4I4Q3;F4IHU9;F4J158;F4JH46;F4JKB6;F4JKB9;F4JTB3;O49660;O80695;O82752;O82775;Q8RWF5;Q9SIA4;Q9LE20;Q9FKK3;Q8RXK1;Q9SVE7;Q940N9;Q9LVD9;Q8W4G3;Q9ZVH5;Q9SIA3;Q9C994;Q1PFG9;Q4PSF4;Q1PDX9;Q9SLV0;Q9FHB6;Q680B9;Q94AL1;Q9FNC1;Q9LUH3;Q8L7T9;Q9LYT3;Q9SX83;Q9LPV4;Q945F0;Q8L616;Q9FKQ1;Q8VYL8;Q8VY98;Q9FJ87;Q9SFB0;Q84K71;Q9SIA1;Q9SYD6;Q66GI4;Q9C9M8;Q8S8A9;Q9SZE2;Q9SAB0;Q38956;Q9C9U1;Q9LS19;Q9LUH2;Q8GXM8;Q9FLX2;Q9FH21;Q8W488;Q8L731,F4JKB6;Q680B9;Q66GI4,NONE,NONE,NONE,NONE,E7F2V4;F1RD03;U3MYZ9;F1QPR1;H9GY89;E7FEQ7;F1QKP0,ZERO,Q96FL8;Q86VL8,ZERO,Q05497;P0C5N6,ZERO,Q10085;Q9UT92;Q9USK3,ZERO
KOG1613,5,5,Q9ZUI4,Q9ZUI4,NONE,NONE,NONE,NONE,Q4VBT6,Q4VBT6,Q96B26,Q96B26,P25359,P25359,Q10205,Q10205
KOG1781,5,1,Q9SI54,ZERO,NONE,NONE,NONE,NONE,A4FVI7,ZERO,Q9UK45,ZERO,P53905,P53905,O74499,ZERO
KOG2021,5,2,Q7PC79,ZERO,NONE,NONE,NONE,NONE,G1K2X8,ZERO,O43592,O43592,P33418,P33418,O94258,ZERO
KOG2783,5,5,Q94K73,Q94K73,NONE,NONE,NONE,NONE,F1RD71,F1RD71,O95363,O95363,P08425,P08425,O74952,O74952
KOG4066,5,3,Q6NMZ4,ZERO,NONE,NONE,NONE,NONE,F1QZ15,ZERO,Q9Y3C4,Q9Y3C4,Q03705,Q03705,Q9P7J3,Q9P7J3
KOG0132,5,1,NONE,NONE,O01864,ZERO,Q95TR3,ZERO,A0A0A0MPK9;E7F172,ZERO,O95104;Q9UPN6,ZERO,P53617,P53617,NONE,NONE
KOG2524,5,1,NONE,NONE,O45069,ZERO,Q9W2I2,ZERO,A4FUL9,ZERO,Q5T6V5,ZERO,NONE,NONE,Q9HDZ9,Q9HDZ9
KOG3908,5,5,NONE,NONE,Q23623,Q23623,Q9VPY8,Q9VPY8,F1RDP5,F1RDP5,Q9BXR0,Q9BXR0,NONE,NONE,O94460,O94460
KOG2324,5,4,NONE,NONE,NONE,NONE,Q6NQW5,ZERO,F1QHZ4,F1QHZ4,Q7L3T8,Q7L3T8,P39965,P39965,O74765,O74765
KOG2445,5,1,NONE,NONE,NONE,NONE,Q7K2X8,ZERO,Q6TGU2,ZERO,Q96EE3,Q96EE3,P53011,ZERO,Q10099,ZERO
KOG3790,5,3,NONE,NONE,NONE,NONE,Q9VHB9,ZERO,E9QD66,ZERO,Q8IYL2,Q8IYL2,Q02648,Q02648,O74516,O74516
KOG3914,5,3,NONE,NONE,NONE,NONE,Q9W415,ZERO,E7EZ59,ZERO,P57081,P57081,Q03774,Q03774,O74863,O74863
KOG4121,5,1,NONE,NONE,NONE,NONE,A1YK86,ZERO,F1QNV4,ZERO,Q8WUM0,Q8WUM0,P36161,ZERO,Q9UTH0;Q9P797,ZERO
KOG4133,5,4,NONE,NONE,NONE,NONE,Q0E8E7,ZERO,A2BIL9,A2BIL9,A0A024R4N9,A0A024R4N9,P39707,P39707,O60156,O60156
KOG1067,4,1,Q0WNB1;Q8GZQ3;Q9S7G6,Q8GZQ3;Q9S7G6,Q965N3,ZERO,Q8IH29,ZERO,NONE,NONE,Q8TCS8,ZERO,NONE,NONE,NONE,NONE
KOG4174,4,2,F4JUZ6;F4I1X2;F4KIL7;P0C8L4,ZERO,Q9U2H9,ZERO,NONE,NONE,A5PMV5,A5PMV5,Q9BRP7,Q9BRP7,NONE,NONE,NONE,NONE
KOG2132,4,2,Q8RWR1,ZERO,NONE,NONE,Q9W0M3;Q9VB06,ZERO,F1Q971;F8W629;P59723;Q6AXL5,F1Q971,A2RUC4;Q8N371;Q96EW2;Q9NWT6,A2RUC4,NONE,NONE,NONE,NONE
KOG2139,4,1,Q8GWR1,ZERO,NONE,NONE,Q9W351,ZERO,Q6NW98,ZERO,Q9NRG9,Q9NRG9,NONE,NONE,NONE,NONE
